"","euftf","edlvdie","eduyrs","hinctnta","trstplt","imwbcnt","gndr","agea","brncntr","euftf_re","edu_cat"
"20578",NA,14,19,NA,6,5,1,45,1,NA,"Bachelor Degree"
"20579",9,6,14,1,6,8,2,80,1,1,"Leaving Certificate"
"20580",8,14,17,10,7,9,2,50,2,2,"Bachelor Degree"
"20581",5,13,54,4,5,6,1,80,1,5,"Bachelor Degree"
"20582",8,3,10,4,1,4,1,74,1,2,"Junior Cycle"
"20583",3,2,7,NA,3,5,1,89,1,7,"Junior Cycle"
"20584",1,13,18,8,2,6,2,73,1,9,"Bachelor Degree"
"20585",3,2,11,3,1,6,1,40,1,7,"Junior Cycle"
"20586",5,1,5,NA,0,3,1,72,1,5,"Junior Cycle"
"20587",9,6,18,2,5,8,2,28,1,1,"Leaving Certificate"
"20588",9,4,11,2,1,8,1,66,1,1,"Junior Cycle"
"20589",5,7,14,NA,3,9,1,19,1,5,"Leaving Certificate"
"20590",4,6,13,NA,8,7,2,67,1,6,"Leaving Certificate"
"20591",4,13,16,NA,3,4,1,63,1,6,"Bachelor Degree"
"20592",NA,10,17,4,2,6,2,31,1,NA,"Advanced Certificate"
"20593",0,2,8,1,4,1,2,68,1,10,"Junior Cycle"
"20594",8,16,20,10,3,9,2,40,1,2,"Postgraduate Degree"
"20595",NA,7,13,NA,7,3,2,70,1,NA,"Leaving Certificate"
"20596",6,6,16,5,0,10,1,34,1,4,"Leaving Certificate"
"20597",4,4,12,NA,7,6,2,65,1,6,"Junior Cycle"
"20598",7,12,15,8,7,5,2,41,1,3,"Advanced Certificate"
"20599",4,6,16,10,5,6,1,19,1,6,"Leaving Certificate"
"20600",5,17,19,5,8,8,1,41,2,5,"Postgraduate Degree"
"20601",0,6,13,NA,0,5,2,42,1,10,"Leaving Certificate"
"20602",6,7,14,NA,2,2,2,42,1,4,"Leaving Certificate"
"20603",2,6,13,5,5,8,1,63,2,8,"Leaving Certificate"
"20604",5,3,11,1,0,1,1,51,1,5,"Junior Cycle"
"20605",NA,5,12,1,5,5,1,58,1,NA,"Leaving Certificate"
"20606",5,15,18,7,5,10,1,29,1,5,"Bachelor Degree"
"20607",5,6,15,7,7,10,2,60,2,5,"Leaving Certificate"
"20608",0,10,15,3,0,0,2,27,1,10,"Advanced Certificate"
"20609",NA,13,14,2,2,9,1,24,1,NA,"Bachelor Degree"
"20610",NA,7,13,NA,4,8,2,64,1,NA,"Leaving Certificate"
"20611",6,2,16,NA,0,5,2,73,1,4,"Junior Cycle"
"20612",5,9,13,6,1,8,1,30,1,5,"Leaving Certificate"
"20613",2,6,15,5,2,5,1,38,1,8,"Leaving Certificate"
"20614",10,2,10,NA,6,5,2,67,1,0,"Junior Cycle"
"20615",8,6,14,7,3,5,2,70,1,2,"Leaving Certificate"
"20616",8,3,12,2,4,8,1,65,2,2,"Junior Cycle"
"20617",NA,3,NA,NA,8,4,2,56,1,NA,"Junior Cycle"
"20618",5,13,16,8,3,8,1,49,1,5,"Bachelor Degree"
"20619",6,10,14,NA,8,7,2,61,1,4,"Advanced Certificate"
"20620",3,6,13,7,3,5,1,57,1,7,"Leaving Certificate"
"20621",NA,13,20,5,3,8,1,30,2,NA,"Bachelor Degree"
"20622",NA,2,7,NA,6,5,2,84,1,NA,"Junior Cycle"
"20623",8,7,13,4,7,6,2,75,1,2,"Leaving Certificate"
"20624",NA,6,13,NA,8,7,1,72,1,NA,"Leaving Certificate"
"20625",8,6,14,3,10,NA,2,49,1,2,"Leaving Certificate"
"20626",5,1,8,1,2,4,1,NA,1,5,"Junior Cycle"
"20627",NA,7,14,1,6,4,2,28,1,NA,"Leaving Certificate"
"20628",5,4,17,NA,3,0,1,74,2,5,"Junior Cycle"
"20629",3,15,16,8,4,8,2,46,1,7,"Bachelor Degree"
"20630",8,16,18,9,4,9,1,74,1,2,"Postgraduate Degree"
"20631",8,17,21,NA,4,10,1,30,1,2,"Postgraduate Degree"
"20632",NA,14,16,6,4,8,1,50,1,NA,"Bachelor Degree"
"20633",8,4,12,NA,5,6,2,52,2,2,"Junior Cycle"
"20634",2,12,16,6,3,5,2,37,1,8,"Advanced Certificate"
"20635",9,13,18,7,3,7,2,30,1,1,"Bachelor Degree"
"20636",6,17,19,10,5,9,2,46,1,4,"Postgraduate Degree"
"20637",3,3,14,NA,0,7,1,63,1,7,"Junior Cycle"
"20638",7,6,15,NA,4,7,2,29,1,3,"Leaving Certificate"
"20639",6,7,14,2,5,6,2,33,1,4,"Leaving Certificate"
"20640",NA,3,11,1,0,7,2,65,1,NA,"Junior Cycle"
"20641",7,14,16,6,5,7,2,37,1,3,"Bachelor Degree"
"20642",NA,3,13,2,0,2,2,38,1,NA,"Junior Cycle"
"20643",6,13,17,5,6,8,2,43,1,4,"Bachelor Degree"
"20644",6,6,14,2,2,8,2,54,1,4,"Leaving Certificate"
"20645",0,8,16,1,1,3,1,56,1,10,"Leaving Certificate"
"20646",4,17,24,2,1,9,2,50,2,6,"Postgraduate Degree"
"20647",8,7,14,5,8,9,2,43,2,2,"Leaving Certificate"
"20648",5,6,13,2,0,3,2,40,1,5,"Leaving Certificate"
"20649",1,2,9,4,0,4,1,74,2,9,"Junior Cycle"
"20650",6,3,11,NA,3,8,1,69,1,4,"Junior Cycle"
"20651",8,6,15,7,4,10,1,41,1,2,"Leaving Certificate"
"20652",5,3,9,2,6,NA,2,82,1,5,"Junior Cycle"
"20653",2,14,21,7,2,4,1,45,1,8,"Bachelor Degree"
"20654",5,9,16,7,4,4,1,51,1,5,"Leaving Certificate"
"20655",3,15,16,5,1,5,2,NA,1,7,"Bachelor Degree"
"20656",5,3,12,NA,2,1,1,47,1,5,"Junior Cycle"
"20657",8,7,13,NA,8,5,1,42,1,2,"Leaving Certificate"
"20658",4,2,6,2,4,5,2,52,1,6,"Junior Cycle"
"20659",2,17,22,10,7,9,1,53,2,8,"Postgraduate Degree"
"20660",6,6,14,5,7,7,1,75,1,4,"Leaving Certificate"
"20661",5,6,13,5,NA,10,2,44,2,5,"Leaving Certificate"
"20662",7,18,18,3,7,6,1,42,1,3,"Postgraduate Degree"
"20663",3,6,14,2,7,7,1,66,1,7,"Leaving Certificate"
"20664",5,16,16,6,5,10,2,48,1,5,"Postgraduate Degree"
"20665",6,3,12,NA,7,8,1,18,1,4,"Junior Cycle"
"20666",5,16,16,9,NA,7,1,27,2,5,"Postgraduate Degree"
"20667",NA,6,13,4,0,5,2,45,1,NA,"Leaving Certificate"
"20668",5,16,19,6,5,9,2,44,1,5,"Postgraduate Degree"
"20669",6,4,14,5,2,8,2,50,1,4,"Junior Cycle"
"20670",9,6,13,9,6,10,1,67,1,1,"Leaving Certificate"
"20671",6,17,19,NA,1,8,1,24,1,4,"Postgraduate Degree"
"20672",7,7,14,3,7,7,2,41,1,3,"Leaving Certificate"
"20673",7,3,11,2,3,8,1,80,1,3,"Junior Cycle"
"20674",9,6,13,5,8,8,1,71,1,1,"Leaving Certificate"
"20675",8,17,22,9,4,3,2,43,2,2,"Postgraduate Degree"
"20676",6,17,16,10,7,10,1,43,1,4,"Postgraduate Degree"
"20677",5,15,17,3,3,7,2,56,2,5,"Bachelor Degree"
"20678",NA,16,18,NA,1,3,2,49,1,NA,"Postgraduate Degree"
"20679",10,10,15,NA,7,7,2,68,1,0,"Advanced Certificate"
"20680",2,2,13,NA,8,3,1,75,1,8,"Junior Cycle"
"20681",4,7,13,1,4,10,2,56,2,6,"Leaving Certificate"
"20682",7,5,12,3,4,1,1,27,1,3,"Leaving Certificate"
"20683",7,12,17,NA,8,8,2,80,1,3,"Advanced Certificate"
"20684",1,9,15,8,6,8,1,54,1,9,"Leaving Certificate"
"20685",5,15,16,4,5,7,2,51,1,5,"Bachelor Degree"
"20686",10,13,22,10,2,10,1,45,1,0,"Bachelor Degree"
"20687",8,16,19,7,5,8,2,72,1,2,"Postgraduate Degree"
"20688",7,3,11,3,4,2,2,62,1,3,"Junior Cycle"
"20689",0,2,7,NA,2,6,2,56,1,10,"Junior Cycle"
"20690",NA,14,17,3,NA,10,1,29,2,NA,"Bachelor Degree"
"20691",3,17,18,NA,1,10,1,54,1,7,"Postgraduate Degree"
"20692",8,9,14,2,6,8,1,45,2,2,"Leaving Certificate"
"20693",7,13,17,NA,4,10,2,61,1,3,"Bachelor Degree"
"20694",3,2,8,NA,9,5,1,70,1,7,"Junior Cycle"
"20695",NA,13,18,NA,8,5,2,44,1,NA,"Bachelor Degree"
"20696",0,13,16,NA,1,4,1,49,1,10,"Bachelor Degree"
"20697",6,6,14,6,3,1,2,53,1,4,"Leaving Certificate"
"20698",7,15,17,9,6,8,2,36,1,3,"Bachelor Degree"
"20699",8,6,16,10,NA,8,1,50,1,2,"Leaving Certificate"
"20700",4,3,11,NA,2,9,1,40,1,6,"Junior Cycle"
"20701",5,6,16,NA,6,7,2,20,1,5,"Leaving Certificate"
"20702",2,1,6,5,4,1,1,86,1,8,"Junior Cycle"
"20703",7,17,18,6,7,7,1,41,2,3,"Postgraduate Degree"
"20704",6,10,14,5,2,6,2,45,1,4,"Advanced Certificate"
"20705",5,3,13,NA,0,5,2,33,1,5,"Junior Cycle"
"20706",8,2,8,1,2,6,1,78,1,2,"Junior Cycle"
"20707",5,6,13,NA,5,10,2,40,2,5,"Leaving Certificate"
"20708",2,12,14,NA,0,1,1,70,1,8,"Advanced Certificate"
"20709",9,17,21,7,6,9,2,58,1,1,"Postgraduate Degree"
"20710",7,15,17,2,6,10,2,72,1,3,"Bachelor Degree"
"20711",10,6,13,1,4,8,2,79,1,0,"Leaving Certificate"
"20712",9,12,18,3,1,5,2,50,1,1,"Advanced Certificate"
"20713",5,10,15,NA,5,3,2,50,1,5,"Advanced Certificate"
"20714",NA,7,14,NA,7,8,2,34,1,NA,"Leaving Certificate"
"20715",4,5,12,NA,4,6,2,46,1,6,"Leaving Certificate"
"20716",10,14,18,NA,1,6,2,24,2,0,"Bachelor Degree"
"20717",NA,14,16,4,NA,5,2,23,2,NA,"Bachelor Degree"
"20718",7,7,14,NA,8,6,1,72,1,3,"Leaving Certificate"
"20719",6,16,18,5,2,8,2,40,2,4,"Postgraduate Degree"
"20720",5,3,11,1,2,2,2,64,1,5,"Junior Cycle"
"20721",5,17,17,7,7,10,1,57,2,5,"Postgraduate Degree"
"20722",8,1,5,NA,NA,7,1,25,2,2,"Junior Cycle"
"20723",10,6,14,NA,NA,8,2,27,2,0,"Leaving Certificate"
"20724",9,3,8,3,4,6,2,64,1,1,"Junior Cycle"
"20725",7,6,18,NA,0,6,2,55,1,3,"Leaving Certificate"
"20726",8,7,14,8,5,8,2,30,1,2,"Leaving Certificate"
"20727",6,12,15,4,4,9,2,36,2,4,"Advanced Certificate"
"20728",3,2,8,3,7,7,2,76,1,7,"Junior Cycle"
"20729",5,6,14,5,8,4,2,42,1,5,"Leaving Certificate"
"20730",4,17,17,NA,1,4,2,37,1,6,"Postgraduate Degree"
"20731",5,6,13,NA,5,NA,2,34,1,5,"Leaving Certificate"
"20732",6,17,19,8,7,9,2,43,1,4,"Postgraduate Degree"
"20733",NA,8,15,7,6,NA,2,38,1,NA,"Leaving Certificate"
"20734",9,7,15,3,5,9,1,30,2,1,"Leaving Certificate"
"20735",6,3,16,3,1,9,1,80,2,4,"Junior Cycle"
"20736",6,14,18,NA,6,8,1,32,2,4,"Bachelor Degree"
"20737",5,12,14,NA,7,5,2,84,1,5,"Advanced Certificate"
"20738",10,4,10,NA,10,10,2,47,2,0,"Junior Cycle"
"20739",NA,6,14,NA,5,6,1,21,1,NA,"Leaving Certificate"
"20740",8,6,15,4,9,9,1,41,1,2,"Leaving Certificate"
"20741",8,12,28,NA,6,5,1,44,1,2,"Advanced Certificate"
"20742",7,6,14,NA,7,7,1,30,1,3,"Leaving Certificate"
"20743",10,6,13,4,0,10,2,63,2,0,"Leaving Certificate"
"20744",5,7,13,2,6,4,2,43,1,5,"Leaving Certificate"
"20745",7,13,18,6,6,8,2,43,2,3,"Bachelor Degree"
"20746",7,18,23,8,7,10,2,60,1,3,"Postgraduate Degree"
"20747",NA,12,15,NA,3,5,1,40,1,NA,"Advanced Certificate"
"20748",10,6,14,2,6,10,1,72,1,0,"Leaving Certificate"
"20749",2,3,11,NA,1,5,2,57,1,8,"Junior Cycle"
"20750",7,8,16,NA,5,5,1,61,1,3,"Leaving Certificate"
"20751",6,8,16,NA,0,1,1,64,1,4,"Leaving Certificate"
"20752",NA,16,NA,NA,5,NA,2,NA,8,NA,"Postgraduate Degree"
"20753",9,7,13,5,7,9,2,83,1,1,"Leaving Certificate"
"20754",NA,16,18,5,9,NA,1,32,2,NA,"Postgraduate Degree"
"20755",6,3,14,NA,8,8,1,19,1,4,"Junior Cycle"
"20756",2,1,8,2,3,8,2,84,1,8,"Junior Cycle"
"20757",1,6,13,2,5,2,1,69,1,9,"Leaving Certificate"
"20758",9,17,21,10,3,8,2,43,2,1,"Postgraduate Degree"
"20759",8,14,19,10,1,9,2,39,1,2,"Bachelor Degree"
"20760",5,16,19,7,3,9,2,36,1,5,"Postgraduate Degree"
"20761",10,2,8,3,7,10,2,72,1,0,"Junior Cycle"
"20762",8,3,10,2,0,7,2,40,1,2,"Junior Cycle"
"20763",4,14,16,NA,6,7,1,34,1,6,"Bachelor Degree"
"20764",7,2,8,2,7,NA,1,79,1,3,"Junior Cycle"
"20765",8,7,15,4,NA,9,1,38,2,2,"Leaving Certificate"
"20766",5,6,13,2,5,6,2,55,1,5,"Leaving Certificate"
"20767",5,13,18,NA,5,5,2,NA,1,5,"Bachelor Degree"
"20768",9,17,20,NA,7,8,2,36,1,1,"Postgraduate Degree"
"20769",7,14,18,6,7,8,2,42,1,3,"Bachelor Degree"
"20770",8,6,15,2,5,10,2,25,2,2,"Leaving Certificate"
"20771",5,5,12,2,2,7,1,25,1,5,"Leaving Certificate"
"20772",5,16,19,NA,6,5,2,41,1,5,"Postgraduate Degree"
"20773",3,15,20,9,5,7,1,36,1,7,"Bachelor Degree"
"20774",5,8,19,NA,1,4,1,55,1,5,"Leaving Certificate"
"20775",3,6,14,7,5,8,1,45,1,7,"Leaving Certificate"
"20776",8,1,7,7,8,8,1,67,1,2,"Junior Cycle"
"20777",8,3,10,NA,6,6,1,72,1,2,"Junior Cycle"
"20778",NA,14,21,NA,5,3,2,33,1,NA,"Bachelor Degree"
"20779",1,17,18,4,3,3,1,45,2,9,"Postgraduate Degree"
"20780",7,2,13,2,4,8,1,NA,1,3,"Junior Cycle"
"20781",7,3,10,3,3,6,2,67,1,3,"Junior Cycle"
"20782",6,17,20,5,7,9,2,38,1,4,"Postgraduate Degree"
"20783",8,14,18,NA,7,10,2,74,1,2,"Bachelor Degree"
"20784",10,2,9,5,6,10,1,79,1,0,"Junior Cycle"
"20785",5,4,8,NA,1,8,1,55,1,5,"Junior Cycle"
"20786",6,13,22,8,4,8,1,67,2,4,"Bachelor Degree"
"20787",7,1,7,7,8,7,2,NA,1,3,"Junior Cycle"
"20788",8,3,15,3,0,5,2,52,1,2,"Junior Cycle"
"20789",8,4,15,1,0,9,1,44,1,2,"Junior Cycle"
"20790",NA,7,13,2,NA,8,2,46,2,NA,"Leaving Certificate"
"20791",8,6,15,NA,NA,0,1,18,1,2,"Leaving Certificate"
"20792",6,6,14,1,0,6,1,55,1,4,"Leaving Certificate"
"20793",7,15,20,8,5,7,2,43,1,3,"Bachelor Degree"
"20794",7,8,15,7,7,2,1,39,1,3,"Leaving Certificate"
"20795",7,14,19,5,6,10,2,48,1,3,"Bachelor Degree"
"20796",8,15,16,8,5,6,2,53,1,2,"Bachelor Degree"
"20797",1,13,17,4,5,7,1,33,1,9,"Bachelor Degree"
"20798",7,13,18,6,6,7,1,47,1,3,"Bachelor Degree"
"20799",8,16,NA,5,3,4,2,54,1,2,"Postgraduate Degree"
"20800",NA,9,14,NA,NA,8,2,18,2,NA,"Leaving Certificate"
"20801",10,9,15,NA,5,NA,1,36,1,0,"Leaving Certificate"
"20802",8,16,18,5,8,8,1,44,1,2,"Postgraduate Degree"
"20803",6,6,18,NA,8,8,1,61,1,4,"Leaving Certificate"
"20804",5,17,20,NA,3,8,1,48,1,5,"Postgraduate Degree"
"20805",8,7,20,4,9,8,1,36,2,2,"Leaving Certificate"
"20806",NA,2,9,2,1,5,2,43,1,NA,"Junior Cycle"
"20807",7,12,17,NA,7,5,2,23,1,3,"Advanced Certificate"
"20808",6,4,11,2,8,9,1,34,1,4,"Junior Cycle"
"20809",3,4,13,3,4,3,2,47,1,7,"Junior Cycle"
"20810",7,4,12,NA,8,7,2,74,1,3,"Junior Cycle"
"20811",2,16,21,9,6,8,2,40,1,8,"Postgraduate Degree"
"20812",2,17,19,10,7,8,1,37,1,8,"Postgraduate Degree"
"20813",9,3,12,8,4,9,1,57,1,1,"Junior Cycle"
"20814",NA,3,10,NA,0,NA,1,37,1,NA,"Junior Cycle"
"20815",5,6,13,3,1,6,2,68,1,5,"Leaving Certificate"
"20816",10,18,20,NA,NA,NA,2,24,2,0,"Postgraduate Degree"
"20817",6,3,10,8,7,6,1,65,1,4,"Junior Cycle"
"20818",9,7,15,4,7,8,2,56,1,1,"Leaving Certificate"
"20819",5,6,NA,4,5,6,2,46,1,5,"Leaving Certificate"
"20820",3,1,5,NA,8,0,1,80,1,7,"Junior Cycle"
"20821",4,11,14,7,7,8,1,43,2,6,"Advanced Certificate"
"20822",2,9,14,4,7,8,2,NA,1,8,"Leaving Certificate"
"20823",8,7,19,NA,8,9,1,72,1,2,"Leaving Certificate"
"20824",5,14,19,NA,6,10,2,36,1,5,"Bachelor Degree"
"20825",NA,14,16,NA,5,NA,2,50,1,NA,"Bachelor Degree"
"20826",8,14,17,4,7,6,2,57,1,2,"Bachelor Degree"
"20827",8,6,13,NA,0,5,1,62,1,2,"Leaving Certificate"
"20828",6,13,24,2,6,7,1,56,1,4,"Bachelor Degree"
"20829",7,15,16,6,5,8,1,84,1,3,"Bachelor Degree"
"20830",0,8,16,NA,0,3,1,43,1,10,"Leaving Certificate"
"20831",2,13,16,NA,1,7,2,60,1,8,"Bachelor Degree"
"20832",NA,7,14,NA,NA,4,2,18,1,NA,"Leaving Certificate"
"20833",5,1,8,NA,0,4,2,69,1,5,"Junior Cycle"
"20834",8,17,18,10,8,8,2,52,1,2,"Postgraduate Degree"
"20835",9,8,13,4,8,10,1,NA,1,1,"Leaving Certificate"
"20836",NA,13,17,8,NA,8,1,30,2,NA,"Bachelor Degree"
"20837",6,15,18,NA,2,2,1,48,2,4,"Bachelor Degree"
"20838",8,15,17,8,7,7,1,58,1,2,"Bachelor Degree"
"20839",5,3,11,1,3,NA,2,82,1,5,"Junior Cycle"
"20840",8,6,16,3,5,7,1,66,1,2,"Leaving Certificate"
"20841",5,7,NA,9,6,10,1,42,1,5,"Leaving Certificate"
"20842",7,6,13,NA,4,7,1,62,1,3,"Leaving Certificate"
"20843",1,16,16,2,4,5,2,48,1,9,"Postgraduate Degree"
"20844",5,3,9,NA,3,8,1,46,1,5,"Junior Cycle"
"20845",3,17,18,NA,3,7,2,36,1,7,"Postgraduate Degree"
"20846",8,7,16,3,1,7,1,38,1,2,"Leaving Certificate"
"20847",8,6,14,6,5,8,1,85,1,2,"Leaving Certificate"
"20848",3,16,16,NA,1,4,1,57,2,7,"Postgraduate Degree"
"20849",3,2,8,NA,8,4,1,87,1,7,"Junior Cycle"
"20850",9,16,22,3,0,10,2,51,1,1,"Postgraduate Degree"
"20851",8,14,18,4,2,10,1,23,1,2,"Bachelor Degree"
"20852",0,13,17,NA,0,3,2,42,1,10,"Bachelor Degree"
"20853",3,8,15,NA,5,2,1,36,1,7,"Leaving Certificate"
"20854",7,6,13,NA,6,7,1,57,1,3,"Leaving Certificate"
"20855",10,17,51,6,10,9,2,58,2,0,"Postgraduate Degree"
"20856",NA,14,18,3,6,8,2,25,2,NA,"Bachelor Degree"
"20857",5,13,16,4,8,8,1,45,1,5,"Bachelor Degree"
"20858",6,13,18,3,8,5,1,31,2,4,"Bachelor Degree"
"20859",5,7,16,NA,6,10,2,38,2,5,"Leaving Certificate"
"20860",10,10,14,8,0,9,1,30,1,0,"Advanced Certificate"
"20861",7,16,18,9,3,7,2,42,1,3,"Postgraduate Degree"
"20862",NA,18,17,NA,0,6,1,72,1,NA,"Postgraduate Degree"
"20863",7,14,18,5,8,8,1,35,1,3,"Bachelor Degree"
"20864",6,3,11,4,4,7,2,74,1,4,"Junior Cycle"
"20865",5,3,9,2,6,NA,2,79,1,5,"Junior Cycle"
"20866",8,18,20,9,8,9,2,62,1,2,"Postgraduate Degree"
"20867",7,3,12,2,4,9,2,69,1,3,"Junior Cycle"
"20868",8,11,17,8,4,3,1,52,1,2,"Advanced Certificate"
"20869",NA,NA,7,NA,4,7,2,71,1,NA,NA
"20870",5,3,10,NA,7,4,1,79,1,5,"Junior Cycle"
"20871",2,5,13,4,2,7,1,54,1,8,"Leaving Certificate"
"20872",7,15,16,NA,4,6,1,36,1,3,"Bachelor Degree"
"20873",7,3,10,2,0,8,1,70,1,3,"Junior Cycle"
"20874",8,6,14,4,3,8,2,73,1,2,"Leaving Certificate"
"20875",5,2,12,1,8,7,2,NA,2,5,"Junior Cycle"
"20876",9,15,16,NA,8,5,2,66,1,1,"Bachelor Degree"
"20877",6,6,13,NA,6,4,1,29,1,4,"Leaving Certificate"
"20878",8,5,13,NA,NA,7,1,36,2,2,"Leaving Certificate"
"20879",7,11,17,5,8,10,1,79,1,3,"Advanced Certificate"
"20880",6,17,17,7,4,8,2,40,1,4,"Postgraduate Degree"
"20881",8,6,13,3,1,7,2,62,1,2,"Leaving Certificate"
"20882",NA,5,14,7,10,7,1,52,2,NA,"Leaving Certificate"
"20883",NA,NA,NA,NA,5,8,2,29,1,NA,NA
"20884",5,1,8,6,7,5,1,NA,1,5,"Junior Cycle"
"20885",5,16,19,10,3,8,2,46,1,5,"Postgraduate Degree"
"20886",0,4,12,7,2,4,2,31,1,10,"Junior Cycle"
"20887",5,2,9,NA,3,7,2,80,1,5,"Junior Cycle"
"20888",7,11,16,7,6,8,1,33,1,3,"Advanced Certificate"
"20889",5,15,22,7,4,9,2,30,1,5,"Bachelor Degree"
"20890",NA,5,13,3,5,10,1,40,1,NA,"Leaving Certificate"
"20891",6,3,9,NA,9,6,1,79,1,4,"Junior Cycle"
"20892",5,6,24,8,9,9,2,52,1,5,"Leaving Certificate"
"20893",8,5,12,NA,6,9,1,78,2,2,"Leaving Certificate"
"20894",1,6,17,1,2,8,2,55,2,9,"Leaving Certificate"
"20895",8,4,10,2,3,8,1,74,1,2,"Junior Cycle"
"20896",5,6,13,NA,9,8,1,61,1,5,"Leaving Certificate"
"20897",6,16,17,7,2,2,2,56,1,4,"Postgraduate Degree"
"20898",7,14,16,NA,7,9,2,90,1,3,"Bachelor Degree"
"20899",3,3,13,NA,6,5,1,23,1,7,"Junior Cycle"
"20900",NA,4,10,NA,0,2,1,44,1,NA,"Junior Cycle"
"20901",7,7,20,2,0,7,1,41,1,3,"Leaving Certificate"
"20902",8,4,15,NA,5,6,2,48,1,2,"Junior Cycle"
"20903",4,13,17,NA,5,6,2,47,1,6,"Bachelor Degree"
"20904",0,12,18,9,5,8,1,47,1,10,"Advanced Certificate"
"20905",5,7,14,2,2,7,2,63,1,5,"Leaving Certificate"
"20906",8,14,17,4,5,8,2,71,1,2,"Bachelor Degree"
"20907",5,12,19,NA,5,8,2,65,1,5,"Advanced Certificate"
"20908",4,9,16,10,6,8,2,22,1,6,"Leaving Certificate"
"20909",5,7,13,NA,2,5,1,44,1,5,"Leaving Certificate"
"20910",5,14,18,10,4,8,1,57,1,5,"Bachelor Degree"
"20911",7,16,19,6,6,7,2,35,1,3,"Postgraduate Degree"
"20912",8,17,19,5,8,9,1,81,1,2,"Postgraduate Degree"
"20913",8,10,15,2,8,8,2,53,1,2,"Advanced Certificate"
"20914",5,9,15,NA,2,3,2,31,1,5,"Leaving Certificate"
"20915",5,15,20,5,3,10,1,26,1,5,"Bachelor Degree"
"20916",8,2,14,2,1,8,1,89,1,2,"Junior Cycle"
"20917",8,13,17,1,5,9,2,41,1,2,"Bachelor Degree"
"20918",3,14,17,NA,6,5,1,45,1,7,"Bachelor Degree"
"20919",3,2,10,1,2,7,1,80,1,7,"Junior Cycle"
"20920",5,12,15,9,0,7,2,33,1,5,"Advanced Certificate"
"20921",NA,2,8,NA,2,6,2,NA,1,NA,"Junior Cycle"
"20922",7,6,NA,8,7,5,1,60,1,3,"Leaving Certificate"
"20923",7,9,14,NA,7,8,2,75,1,3,"Leaving Certificate"
"20924",6,2,7,5,5,0,2,84,1,4,"Junior Cycle"
"20925",NA,1,5,NA,NA,5,1,35,2,NA,"Junior Cycle"
"20926",4,3,15,4,8,8,2,78,1,6,"Junior Cycle"
"20927",9,15,18,4,NA,10,2,37,2,1,"Bachelor Degree"
"20928",8,16,19,1,2,9,2,27,1,2,"Postgraduate Degree"
"20929",6,3,10,4,8,7,1,73,1,4,"Junior Cycle"
"20930",7,6,16,NA,NA,8,1,21,2,3,"Leaving Certificate"
"20931",5,14,18,3,7,7,1,27,1,5,"Bachelor Degree"
"20932",5,12,15,7,6,NA,1,33,1,5,"Advanced Certificate"
